STREET ID,STREET,FROM,TO,PCI
1,ABEL AVENUE,GEORGIA AVENUE,MAYBELL WAY,93
2,ACACIA AVENUE,EL CAMINO REAL,ANGLE,57
3,ACACIA AVENUE,ANGLE,PORTAGE AVENUE,83
4,ADDISON AVENUE,ALMA STREET,HIGH STREET,61
5,ADDISON AVENUE,HIGH STREET,EMERSON STREET,84
6,ADDISON AVENUE,EMERSON STREET,RAMONA STREET,84
7,ADDISON AVENUE,RAMONA STREET,BRYANT STREET,67
8,ADDISON AVENUE,BRYANT STREET,SCOTT STREET,76
9,ADDISON AVENUE,SCOTT STREET,WAVERLEY STREET,74
10,ADDISON AVENUE,WAVERLEY STREET,COWPER STREET,71
11,ADDISON AVENUE,COWPER STREET,WEBSTER STREET,55
12,ADDISON AVENUE,WEBSTER STREET,MIDDLEFIELD  STREET,74
13,ADDISON AVENUE,MIDDLEFIELD  STREET,FULTON STREET,87
14,ADDISON AVENUE,FULTON STREET,GUINDA STREET,92
15,ADDISON AVENUE,GUINDA STREET,CHANNING AVENUE,79
16,ADDISON AVENUE,CHANNING AVENUE,FIFE STREET,86
17,ADOBE PLACE,NELSON DRIVE,END,96
18,AGNES WAY,OREGON  EXPRESSWAY,DENNIS DRIVE,91
19,AGNES WAY,DENNIS  DRIVE,CELIA DRIVE,91
20,ALANNAH COURT,RHODES DRIVE,END,94
21,ALESTER AVENUE,CHANNING AVENUE,DANA AVENUE,95
22,ALESTER AVENUE,DANA AVENUE,HAMILTON AVENUE,96
23,ALEXIS DRIVE,LAUREL  GLEN  DRIVE,END,97
24,ALEXIS DRIVE,LAUREL  GLEN  DRIVE,BANDERA DRIVE,97
25,ALEXIS DRIVE,BANDERA DRIVE,COUNTRY CLUB,95
26,ALEXIS DRIVE,COUNTRY CLUB,CITY LIMIT,97
27,ALGER DRIVE,RAMBOW DRIVE,COWPER STREET,95
28,ALGER DRIVE,COWPER STREET,MURDOCH DRIVE,92
29,ALLEN COURT,ROSS ROAD,END,97
30,ALLEN COURT,ALLEN COURT,END,92
31,ALLEN COURT,ALLEN COURT,END,92
32,ALLEN COURT,ALLEN COURT,END,92
33,ALLEN COURT,ALLEN COURT,END,92
34,ALMA STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,98
35,ALMA STREET,HAWTHORNE  AVENUE,EVERETT AVENUE,98
36,ALMA STREET,EVERETT AVENUE,LYTTON AVENUE,98
37,ALMA STREET,LYTTON AVENUE,HAMILTON AVENUE,98
